Age,City/PIN,IncomeBracket,HouseholdSize,OrderFreq,TypicalSpend,PrimaryMotivation,DietPattern,Allergies,NutritionImportance,BasketCombineInterest,HotSyncValue,PreferredDeliveryTier,ExtraFeeExpress,EcoSaverLikelihood_GreenCoins,LowCarbonPackagingImportance,ReturnPouch,BundleDealInterest,PreferredIncentives,AccessibilityFeatures,PainPoints,AdoptionLikelihood_30d
33,Lucknow,25-50k,2,1-2/wk,119,Convenience,None,None,4,4,5,Eco-Saver,0,2,5,No,4,Targeted discounts,"Courier empathy rating,Larger text/UI",Sustainability concerns,4
19,Hyderabad,<25k,2,1-2/wk,282,Convenience,Vegan,None,3,4,4,Eco-Saver,0,4,2,Yes,3,"Carbon-offset badges,Surprise free items,Targeted discounts",Courier empathy rating,"Cold food,Confusing UI",4
30,Kolkata,<25k,4,1-2/wk,103,Variety,Calorie-controlled,None,3,5,2,Depends,0,1,3,No,2,"Surprise free items,Carbon-offset badges,Streak cashback",Courier empathy rating,"Limited healthy options,Confusing UI,High fees",3
31,Mumbai,25-50k,1,1-2/wk,170,Time constraints,None,"Gluten,Dairy",3,4,3,Express Fresh,69,3,3,No,3,"Targeted discounts,Streak cashback,Surprise free items","Larger text/UI,Courier empathy rating",None,3
32,Bengaluru,75-100k,5,1-3/mo,228,Time constraints,Vegetarian,None,2,4,2,Eco-Saver,0,3,3,No,2,"Carbon-offset badges,Streak cashback,Targeted discounts",Courier empathy rating,High fees,2
19,Hyderabad,<25k,1,3-5/wk,80,Other,Vegan,None,1,4,3,Eco-Saver,0,2,3,Yes,4,"Streak cashback,Carbon-offset badges,Targeted discounts","Color-blind palette,Larger text/UI",None,3
27,Jaipur,25-50k,1,3-5/wk,134,Convenience,Calorie-controlled,Gluten,5,5,3,Depends,0,3,2,Yes,2,None of these,Color-blind palette,"Confusing UI,High fees,Late deliveries",4
24,Kolkata,<25k,3,<1/mo,90,Convenience,None,None,3,3,3,Express Fresh,23,2,3,Yes,2,"Streak cashback,Targeted discounts,Surprise free items",None,"Sustainability concerns,Limited healthy options",3
23,Lucknow,<25k,3,<1/mo,175,Variety,Vegan,None,3,4,3,Express Fresh,51,4,4,Yes,4,"Carbon-offset badges,Surprise free items","Larger text/UI,Color-blind palette","Limited healthy options,Sustainability concerns,Confusing UI",4
25,Chennai,50-75k,6,1-3/mo,204,Other,None,None,3,2,2,Eco-Saver,0,5,3,Yes,2,"Targeted discounts,Carbon-offset badges,Streak cashback",None,"Cold food,Limited healthy options,Sustainability concerns",2
36,Ahmedabad,75-100k,3,<1/mo,229,Health meals,None,Gluten,5,4,5,Eco-Saver,0,3,4,Yes,2,Surprise free items,"Courier empathy rating,Color-blind palette",Confusing UI,5
45,Chennai,75-100k,2,3-5/wk,245,Health meals,Keto,None,3,3,3,Express Fresh,69,3,3,No,3,Surprise free items,Courier empathy rating,None,2
33,Ahmedabad,<25k,3,<1/mo,95,Health meals,None,None,2,5,2,Express Fresh,54,3,4,Yes,3,Surprise free items,None,None,5
38,Pune,25-50k,3,1-3/mo,283,Time constraints,Keto,None,4,4,5,Eco-Saver,0,4,3,Yes,3,"Surprise free items,Carbon-offset badges,Streak cashback",None,High fees,3
34,Pune,50-75k,1,<1/mo,130,Time constraints,Keto,None,4,4,3,Express Fresh,94,1,5,Yes,3,Surprise free items,Color-blind palette,Cold food,5
29,Chennai,25-50k,5,1-3/mo,160,Other,Vegetarian,None,2,5,4,Express Fresh,95,2,4,No,3,Targeted discounts,None,Sustainability concerns,3
28,Pune,<25k,3,1-3/mo,167,Variety,Vegetarian,Dairy,3,2,4,Eco-Saver,0,5,3,Yes,4,"Surprise free items,Targeted discounts,Carbon-offset badges",None,"Cold food,Sustainability concerns,Limited healthy options",3
18,Bengaluru,25-50k,3,3-5/wk,101,Time constraints,Calorie-controlled,"Gluten,Shellfish",5,3,2,Eco-Saver,0,3,5,Yes,4,Targeted discounts,"Larger text/UI,Courier empathy rating",None,4
25,Chennai,25-50k,2,3-5/wk,77,Other,Calorie-controlled,None,2,4,4,Depends,0,3,2,Yes,1,Streak cashback,None,High fees,4
43,Mumbai,<25k,5,1-2/wk,126,Convenience,Calorie-controlled,None,3,3,4,Express Fresh,31,3,5,Yes,3,"Streak cashback,Carbon-offset badges","Voice-first ordering,Color-blind palette","Confusing UI,Cold food,High fees",2
21,Delhi,50-75k,4,3-5/wk,96,Health meals,Vegetarian,Peanuts,4,3,2,Eco-Saver,0,4,3,Yes,3,"Targeted discounts,Surprise free items",Color-blind palette,"Sustainability concerns,Cold food,Limited healthy options",4
30,Bengaluru,<25k,3,<1/mo,66,Variety,Gluten-free,None,2,4,5,Express Fresh,98,3,3,Yes,2,"Targeted discounts,Carbon-offset badges,Streak cashback",Courier empathy rating,"Limited healthy options,Sustainability concerns,High fees",3
31,Jaipur,<25k,3,3-5/wk,122,Other,None,None,2,4,4,Express Fresh,37,3,1,Yes,4,Streak cashback,None,Late deliveries,3
39,Delhi,<25k,2,1-2/wk,167,Convenience,None,None,3,5,5,Express Fresh,95,3,4,No,3,"Surprise free items,Streak cashback","Voice-first ordering,Courier empathy rating","Limited healthy options,Sustainability concerns,Late deliveries",3
20,Pune,25-50k,5,1-2/wk,326,Variety,Other,None,3,3,5,Eco-Saver,0,5,2,No,3,None of these,"Voice-first ordering,Courier empathy rating","Cold food,Confusing UI",1
32,Ahmedabad,50-75k,1,3-5/wk,203,Health meals,Vegetarian,Gluten,5,2,3,Eco-Saver,0,4,5,No,2,"Targeted discounts,Carbon-offset badges,Surprise free items",Courier empathy rating,"Confusing UI,Sustainability concerns,Cold food",5
23,Kolkata,25-50k,1,1-2/wk,220,Convenience,Vegetarian,"Shellfish,Soy",2,3,3,Express Fresh,41,4,3,No,1,"Carbon-offset badges,Streak cashback",None,"High fees,Confusing UI,Limited healthy options",3
21,Pune,50-75k,4,<1/mo,166,Time constraints,None,None,4,2,4,Express Fresh,110,2,2,Yes,4,Surprise free items,"Voice-first ordering,Color-blind palette","Sustainability concerns,Late deliveries",2
24,Jaipur,50-75k,3,1-3/mo,97,Convenience,None,None,5,3,2,Eco-Saver,0,4,5,No,3,None of these,Larger text/UI,"Sustainability concerns,Cold food,High fees",5
30,Pune,<25k,1,3-5/wk,64,Time constraints,Vegetarian,"Peanuts,Dairy",2,4,4,Eco-Saver,0,2,2,No,3,"Streak cashback,Targeted discounts,Surprise free items",None,Cold food,3
28,Lucknow,50-75k,2,1-3/mo,244,Variety,None,None,2,4,4,Express Fresh,66,4,5,Yes,4,"Targeted discounts,Streak cashback,Surprise free items",None,"Sustainability concerns,Confusing UI",5
37,Ahmedabad,75-100k,3,3-5/wk,200,Convenience,None,Soy,2,4,5,Depends,0,3,5,Yes,2,"Surprise free items,Targeted discounts",Larger text/UI,High fees,5
19,Delhi,75-100k,1,1-2/wk,259,Variety,None,None,4,3,5,Express Fresh,130,1,4,Yes,2,Surprise free items,Courier empathy rating,"Late deliveries,Cold food,High fees",4
18,Jaipur,25-50k,1,1-3/mo,127,Variety,Keto,"Shellfish,Dairy",4,3,5,Express Fresh,65,3,3,Yes,3,"Carbon-offset badges,Targeted discounts",None,"Confusing UI,Cold food,Sustainability concerns",4
28,Delhi,50-75k,4,3-5/wk,163,Health meals,Vegan,None,4,4,3,Depends,0,4,5,Yes,1,"Surprise free items,Targeted discounts",None,"Late deliveries,Sustainability concerns",5
31,Hyderabad,>100k,2,1-3/mo,197,Variety,Vegetarian,"Dairy,Gluten",3,3,3,Express Fresh,137,3,5,No,3,"Surprise free items,Streak cashback","Voice-first ordering,Larger text/UI","Sustainability concerns,High fees",2
43,Delhi,>100k,3,<1/mo,133,Variety,None,Soy,3,3,3,Express Fresh,115,2,3,Yes,1,"Surprise free items,Carbon-offset badges",Courier empathy rating,Limited healthy options,3
20,Delhi,25-50k,2,1-2/wk,100,Variety,None,None,3,2,3,Express Fresh,75,2,3,Yes,3,None of these,Voice-first ordering,"Confusing UI,Late deliveries,Limited healthy options",3
41,Pune,25-50k,2,1-2/wk,121,Other,Vegetarian,Gluten,2,3,4,Eco-Saver,0,3,3,Yes,3,"Surprise free items,Targeted discounts,Carbon-offset badges",Larger text/UI,"Sustainability concerns,Confusing UI",1
28,Mumbai,50-75k,5,1-2/wk,218,Health meals,Gluten-free,Shellfish,4,5,2,Express Fresh,87,2,3,Yes,4,"Targeted discounts,Surprise free items,Streak cashback",Voice-first ordering,Cold food,5
28,Kolkata,25-50k,3,1-3/mo,89,Health meals,None,None,2,4,3,Express Fresh,60,3,3,No,3,Carbon-offset badges,Courier empathy rating,"High fees,Cold food",3
28,Kolkata,25-50k,4,3-5/wk,99,Convenience,None,None,2,5,4,Eco-Saver,0,3,3,Yes,4,None of these,"Courier empathy rating,Color-blind palette",Limited healthy options,3
27,Pune,<25k,4,1-2/wk,145,Time constraints,Vegetarian,None,4,4,2,Express Fresh,41,5,5,Yes,1,"Targeted discounts,Streak cashback,Surprise free items",Courier empathy rating,None,5
25,Bengaluru,25-50k,2,1-2/wk,145,Time constraints,Calorie-controlled,"Gluten,Shellfish",5,4,5,Eco-Saver,0,4,3,Yes,3,Targeted discounts,"Larger text/UI,Courier empathy rating","Limited healthy options,Sustainability concerns",5
47,Ahmedabad,75-100k,4,1-3/mo,189,Health meals,None,"Gluten,Soy",2,3,5,Express Fresh,129,5,2,Yes,4,Targeted discounts,Courier empathy rating,"Late deliveries,High fees",1
36,Delhi,25-50k,7,1-3/mo,128,Variety,Calorie-controlled,None,3,4,3,Eco-Saver,0,3,4,Yes,3,Surprise free items,Color-blind palette,None,4
24,Delhi,25-50k,2,3-5/wk,285,Health meals,None,None,3,4,3,Depends,0,1,4,Yes,3,"Targeted discounts,Streak cashback,Carbon-offset badges",None,None,5
25,Pune,<25k,3,1-3/mo,71,Health meals,None,None,1,3,4,Express Fresh,89,3,4,Yes,2,None of these,None,Sustainability concerns,4
40,Chennai,25-50k,1,1-3/mo,540,Health meals,None,"Shellfish,Soy",3,3,3,Eco-Saver,0,3,4,Yes,4,"Carbon-offset badges,Targeted discounts,Surprise free items","Color-blind palette,Courier empathy rating","Limited healthy options,Sustainability concerns,Late deliveries",4
21,Kolkata,<25k,2,1-3/mo,113,Variety,Vegetarian,None,2,4,5,Express Fresh,9,4,4,Yes,3,"Streak cashback,Carbon-offset badges,Targeted discounts",Color-blind palette,Limited healthy options,3
20,Jaipur,25-50k,4,1-2/wk,127,Time constraints,None,None,2,3,3,Eco-Saver,0,3,3,Yes,3,Carbon-offset badges,"Voice-first ordering,Courier empathy rating",Sustainability concerns,1
43,Hyderabad,25-50k,3,3-5/wk,99,Health meals,Calorie-controlled,None,5,4,2,Depends,0,2,2,Yes,2,"Streak cashback,Surprise free items,Targeted discounts","Color-blind palette,Courier empathy rating","Late deliveries,Confusing UI,Limited healthy options",4
24,Hyderabad,50-75k,5,1-2/wk,115,Health meals,Vegetarian,None,3,3,3,Eco-Saver,0,3,2,Yes,3,"Targeted discounts,Carbon-offset badges,Surprise free items",None,"Limited healthy options,Late deliveries,Cold food",2
24,Kolkata,50-75k,2,1-2/wk,154,Variety,High-protein,Soy,3,4,5,Eco-Saver,0,3,5,Yes,3,"Surprise free items,Carbon-offset badges","Color-blind palette,Larger text/UI",Limited healthy options,5
29,Pune,25-50k,4,>5/wk,75,Health meals,Vegetarian,Soy,3,3,3,Express Fresh,61,5,3,Yes,3,Streak cashback,None,Limited healthy options,1
29,Chennai,50-75k,1,<1/mo,239,Time constraints,Gluten-free,None,3,4,3,Depends,0,2,2,Yes,3,Streak cashback,Courier empathy rating,"Cold food,Confusing UI",3
30,Kolkata,25-50k,3,1-2/wk,150,Convenience,Gluten-free,None,2,4,3,Depends,0,2,4,Yes,2,"Streak cashback,Targeted discounts,Carbon-offset badges",Courier empathy rating,High fees,4
46,Delhi,25-50k,3,3-5/wk,134,Health meals,Gluten-free,None,5,3,4,Eco-Saver,0,1,2,No,3,Surprise free items,None,"Late deliveries,High fees",2
32,Delhi,<25k,2,3-5/wk,96,Time constraints,None,None,3,1,3,Eco-Saver,0,4,4,Yes,2,"Surprise free items,Carbon-offset badges",None,"Confusing UI,Limited healthy options",4
37,Jaipur,<25k,4,1-3/mo,137,Convenience,Vegetarian,None,3,2,2,Eco-Saver,0,3,2,Yes,4,None of these,None,Cold food,3
30,Mumbai,75-100k,4,3-5/wk,1356,Variety,None,"Soy,Shellfish",4,3,3,Eco-Saver,0,2,3,Yes,4,"Surprise free items,Streak cashback",Courier empathy rating,None,3
37,Bengaluru,<25k,2,1-3/mo,261,Health meals,None,None,3,5,2,Eco-Saver,0,3,2,Yes,2,None of these,Courier empathy rating,High fees,2
23,Delhi,<25k,3,3-5/wk,155,Time constraints,Vegetarian,Dairy,4,5,1,Express Fresh,26,3,2,Yes,3,"Streak cashback,Surprise free items,Carbon-offset badges",None,"Cold food,Limited healthy options,Late deliveries",3
18,Kolkata,>100k,2,1-3/mo,116,Other,Vegetarian,Gluten,4,2,5,Depends,0,2,5,Yes,5,"Carbon-offset badges,Surprise free items",Courier empathy rating,"Limited healthy options,Cold food",3
29,Chennai,25-50k,2,1-2/wk,122,Variety,Calorie-controlled,None,4,2,4,Depends,0,2,3,Yes,2,"Carbon-offset badges,Targeted discounts",None,Cold food,4
39,Lucknow,25-50k,7,1-3/mo,242,Other,Gluten-free,None,3,5,5,Depends,0,5,5,Yes,3,None of these,"Color-blind palette,Voice-first ordering",None,4
37,Ahmedabad,<25k,4,1-2/wk,107,Health meals,Vegan,"Soy,Peanuts",1,3,3,Express Fresh,32,3,3,No,3,"Carbon-offset badges,Targeted discounts",None,"Sustainability concerns,Cold food",1
32,Bengaluru,<25k,4,3-5/wk,69,Health meals,None,None,4,3,2,Express Fresh,58,4,4,Yes,3,Carbon-offset badges,Larger text/UI,Late deliveries,4
24,Jaipur,25-50k,7,3-5/wk,114,Health meals,None,None,3,4,5,Eco-Saver,0,4,4,No,3,Carbon-offset badges,Color-blind palette,None,5
36,Delhi,<25k,2,1-2/wk,140,Time constraints,None,None,3,3,4,Depends,0,1,4,No,4,Surprise free items,"Courier empathy rating,Color-blind palette",Late deliveries,3
29,Delhi,50-75k,4,1-2/wk,167,Time constraints,None,None,4,3,4,Depends,0,4,2,Yes,2,"Surprise free items,Carbon-offset badges,Streak cashback",Color-blind palette,None,3
30,Lucknow,25-50k,5,<1/mo,204,Variety,Vegetarian,Soy,3,5,3,Express Fresh,42,2,4,Yes,3,"Targeted discounts,Surprise free items",Voice-first ordering,"Cold food,High fees",4
35,Chennai,25-50k,2,1-3/mo,91,Convenience,None,Dairy,2,5,3,Depends,0,3,3,Yes,3,"Targeted discounts,Streak cashback",None,Late deliveries,2
28,Pune,50-75k,1,3-5/wk,130,Other,None,Peanuts,3,3,2,Eco-Saver,0,3,3,Yes,2,"Carbon-offset badges,Targeted discounts,Streak cashback",Voice-first ordering,"Late deliveries,High fees,Sustainability concerns",3
33,Pune,50-75k,3,<1/mo,123,Health meals,Vegetarian,None,5,2,3,Eco-Saver,0,3,3,No,3,"Surprise free items,Streak cashback,Carbon-offset badges",Courier empathy rating,Cold food,3
27,Pune,50-75k,2,1-3/mo,175,Health meals,None,"Dairy,Soy",4,5,4,Eco-Saver,0,3,5,Yes,1,Streak cashback,None,Cold food,5
19,Jaipur,25-50k,1,1-2/wk,125,Other,None,Dairy,3,4,3,Depends,0,3,4,Yes,5,"Targeted discounts,Surprise free items","Courier empathy rating,Color-blind palette","Sustainability concerns,Cold food",4
18,Bengaluru,25-50k,4,1-2/wk,144,Variety,None,None,4,3,5,Express Fresh,57,3,2,No,2,"Carbon-offset badges,Surprise free items,Targeted discounts",None,"Cold food,Limited healthy options,High fees",2
44,Mumbai,<25k,3,1-2/wk,154,Other,Vegetarian,None,4,2,3,Depends,0,5,3,Yes,2,"Carbon-offset badges,Streak cashback,Targeted discounts",None,None,4
23,Pune,>100k,2,1-2/wk,197,Variety,Vegan,"Soy,Gluten",4,4,3,Express Fresh,142,3,3,No,4,Streak cashback,Voice-first ordering,None,5
24,Lucknow,75-100k,3,<1/mo,239,Convenience,None,None,3,4,2,Eco-Saver,0,3,2,No,4,"Carbon-offset badges,Streak cashback,Surprise free items","Courier empathy rating,Color-blind palette","High fees,Limited healthy options",2
19,Jaipur,50-75k,3,>5/wk,167,Time constraints,Vegetarian,None,4,3,4,Eco-Saver,0,4,5,Yes,4,"Surprise free items,Targeted discounts","Courier empathy rating,Larger text/UI","Late deliveries,Cold food",5
33,Kolkata,>100k,2,1-3/mo,227,Health meals,Vegetarian,None,4,5,3,Express Fresh,84,4,4,Yes,4,Carbon-offset badges,"Color-blind palette,Courier empathy rating","High fees,Sustainability concerns",5
30,Mumbai,25-50k,5,1-2/wk,86,Variety,Keto,None,4,4,4,Eco-Saver,0,3,3,Yes,2,"Targeted discounts,Surprise free items,Streak cashback","Color-blind palette,Voice-first ordering",None,5
27,Ahmedabad,50-75k,2,1-2/wk,237,Convenience,Vegan,None,2,5,3,Express Fresh,45,4,3,No,4,"Targeted discounts,Surprise free items",Courier empathy rating,"High fees,Cold food",2
25,Delhi,<25k,3,<1/mo,108,Other,Vegan,"Shellfish,Gluten",2,4,3,Depends,0,2,4,Yes,4,"Streak cashback,Surprise free items,Targeted discounts",None,"Confusing UI,High fees,Cold food",3
24,Kolkata,50-75k,3,1-2/wk,120,Time constraints,Calorie-controlled,None,4,4,4,Eco-Saver,0,2,4,Yes,3,Targeted discounts,"Voice-first ordering,Larger text/UI","Limited healthy options,Late deliveries,High fees",4
29,Mumbai,>100k,1,1-2/wk,456,Other,None,None,3,3,4,Express Fresh,96,3,5,Yes,2,"Streak cashback,Targeted discounts",Color-blind palette,"High fees,Limited healthy options,Cold food",3
32,Ahmedabad,<25k,1,1-3/mo,123,Health meals,None,"Dairy,Shellfish",4,2,3,Eco-Saver,0,4,4,Yes,3,"Surprise free items,Carbon-offset badges,Streak cashback",Larger text/UI,"High fees,Limited healthy options,Sustainability concerns",5
25,Lucknow,<25k,1,1-2/wk,101,Time constraints,None,None,5,4,4,Express Fresh,24,1,5,Yes,2,"Surprise free items,Targeted discounts,Streak cashback","Voice-first ordering,Courier empathy rating",Cold food,4
38,Ahmedabad,25-50k,1,1-3/mo,153,Variety,Keto,Soy,5,1,3,Depends,0,2,4,No,3,"Surprise free items,Targeted discounts,Streak cashback",None,"Late deliveries,High fees",5
23,Ahmedabad,75-100k,4,1-3/mo,121,Other,None,None,3,3,3,Eco-Saver,0,4,3,Yes,5,"Targeted discounts,Streak cashback,Surprise free items",Color-blind palette,"Confusing UI,Limited healthy options",1
41,Hyderabad,75-100k,4,1-3/mo,108,Other,High-protein,None,3,3,5,Express Fresh,110,3,4,Yes,3,"Surprise free items,Targeted discounts",None,Sustainability concerns,3
46,Ahmedabad,>100k,2,1-2/wk,259,Other,Other,None,4,3,4,Eco-Saver,0,1,5,No,3,Streak cashback,Courier empathy rating,"Late deliveries,Confusing UI,High fees",5
31,Lucknow,25-50k,5,<1/mo,188,Health meals,Vegetarian,None,4,3,4,Express Fresh,119,3,5,Yes,3,"Streak cashback,Surprise free items","Voice-first ordering,Color-blind palette","Limited healthy options,High fees",3
47,Chennai,75-100k,5,>5/wk,102,Variety,High-protein,None,2,3,3,Express Fresh,111,3,3,Yes,3,"Carbon-offset badges,Targeted discounts,Surprise free items","Voice-first ordering,Courier empathy rating","High fees,Limited healthy options,Late deliveries",2
33,Chennai,50-75k,2,3-5/wk,106,Variety,None,None,3,4,3,Eco-Saver,0,4,3,No,4,"Targeted discounts,Carbon-offset badges,Surprise free items",None,"Limited healthy options,Sustainability concerns",4
39,Jaipur,25-50k,1,3-5/wk,181,Convenience,Vegetarian,None,3,4,4,Depends,0,5,3,No,2,"Surprise free items,Carbon-offset badges,Streak cashback","Larger text/UI,Courier empathy rating","Sustainability concerns,Late deliveries",4
22,Lucknow,50-75k,3,<1/mo,143,Variety,Calorie-controlled,"Soy,Shellfish",5,4,4,Express Fresh,121,3,2,Yes,4,Surprise free items,None,Late deliveries,5
24,Kolkata,<25k,1,<1/mo,150,Time constraints,Vegetarian,Gluten,4,3,4,Express Fresh,43,5,4,Yes,5,Streak cashback,"Courier empathy rating,Larger text/UI",Cold food,3
32,Delhi,<25k,6,<1/mo,160,Other,None,"Gluten,Peanuts",2,4,3,Depends,0,3,2,Yes,3,"Surprise free items,Carbon-offset badges,Streak cashback",Voice-first ordering,Limited healthy options,4
56,Ahmedabad,<25k,2,1-3/mo,131,Other,None,None,4,3,3,Eco-Saver,0,1,5,Yes,3,None of these,Color-blind palette,"Cold food,Late deliveries",3
30,Lucknow,50-75k,4,1-3/mo,136,Health meals,None,None,3,4,3,Eco-Saver,0,1,3,No,3,"Carbon-offset badges,Targeted discounts,Surprise free items",Voice-first ordering,"Late deliveries,High fees",3
38,Delhi,<25k,5,<1/mo,134,Convenience,Calorie-controlled,None,3,3,4,Express Fresh,123,2,3,No,4,"Streak cashback,Targeted discounts",Larger text/UI,"Late deliveries,Confusing UI,Cold food",1
50,Ahmedabad,25-50k,3,1-2/wk,106,Variety,Calorie-controlled,"Shellfish,Dairy",2,3,2,Express Fresh,30,4,5,Yes,3,Streak cashback,Color-blind palette,"Cold food,Confusing UI,Late deliveries",2
27,Lucknow,<25k,5,<1/mo,133,Other,None,None,5,5,4,Express Fresh,39,4,2,Yes,2,None of these,"Color-blind palette,Voice-first ordering","Cold food,Confusing UI",4
37,Bengaluru,25-50k,4,1-3/mo,223,Health meals,Vegetarian,"Gluten,Dairy",5,4,4,Depends,0,2,3,Yes,4,"Targeted discounts,Surprise free items,Carbon-offset badges","Larger text/UI,Voice-first ordering",High fees,5
42,Jaipur,<25k,3,<1/mo,138,Health meals,None,None,4,4,4,Depends,0,2,4,Yes,3,None of these,Larger text/UI,"Confusing UI,High fees",5
19,Lucknow,>100k,1,3-5/wk,245,Convenience,None,None,3,3,5,Depends,0,3,3,Yes,4,"Targeted discounts,Carbon-offset badges",None,"High fees,Late deliveries,Cold food",2
20,Chennai,25-50k,3,3-5/wk,159,Health meals,Vegetarian,"Soy,Peanuts",2,3,2,Express Fresh,86,5,5,Yes,5,Targeted discounts,Courier empathy rating,"Limited healthy options,High fees",2
31,Kolkata,<25k,1,3-5/wk,82,Time constraints,High-protein,Shellfish,3,3,5,Eco-Saver,0,4,3,Yes,4,"Targeted discounts,Streak cashback",None,"Confusing UI,Cold food",2
70,Chennai,<25k,2,>5/wk,76,Other,Calorie-controlled,Shellfish,1,5,2,Express Fresh,55,4,2,Yes,3,Targeted discounts,Color-blind palette,"Limited healthy options,Late deliveries,Confusing UI",2
19,Bengaluru,25-50k,3,<1/mo,104,Health meals,None,None,3,2,4,Eco-Saver,0,2,3,No,1,"Carbon-offset badges,Streak cashback","Courier empathy rating,Color-blind palette","Late deliveries,Limited healthy options,Confusing UI",1
33,Jaipur,75-100k,4,3-5/wk,273,Time constraints,Other,None,3,3,3,Depends,0,2,2,No,5,None of these,None,"Late deliveries,Sustainability concerns,High fees",1
18,Mumbai,50-75k,3,<1/mo,128,Convenience,Calorie-controlled,None,3,5,5,Depends,0,3,3,Yes,3,"Streak cashback,Targeted discounts",None,"Cold food,High fees,Confusing UI",3
18,Delhi,<25k,6,1-3/mo,77,Variety,Gluten-free,"Soy,Gluten",5,2,2,Eco-Saver,0,3,3,Yes,2,"Carbon-offset badges,Surprise free items,Streak cashback","Voice-first ordering,Color-blind palette",Late deliveries,4
46,Jaipur,25-50k,3,3-5/wk,149,Other,Gluten-free,None,3,3,4,Eco-Saver,0,4,3,Yes,4,None of these,None,"Sustainability concerns,Confusing UI,Cold food",3
18,Jaipur,75-100k,2,<1/mo,129,Convenience,None,None,4,4,3,Express Fresh,92,4,5,No,3,None of these,Courier empathy rating,None,5
52,Mumbai,25-50k,4,1-3/mo,297,Time constraints,High-protein,None,4,4,3,Eco-Saver,0,3,4,Yes,3,Carbon-offset badges,"Larger text/UI,Courier empathy rating","High fees,Limited healthy options",5
37,Chennai,25-50k,1,1-3/mo,292,Variety,Calorie-controlled,None,2,4,4,Express Fresh,81,3,4,Yes,4,"Carbon-offset badges,Streak cashback,Targeted discounts","Color-blind palette,Larger text/UI",High fees,5
25,Ahmedabad,<25k,3,1-2/wk,111,Other,None,None,2,4,4,Express Fresh,41,4,4,Yes,3,"Surprise free items,Streak cashback,Targeted discounts",None,"Sustainability concerns,Limited healthy options,Late deliveries",5
18,Chennai,25-50k,3,1-3/mo,167,Health meals,Calorie-controlled,Peanuts,3,4,5,Eco-Saver,0,3,4,Yes,4,Targeted discounts,"Voice-first ordering,Larger text/UI","Late deliveries,High fees,Cold food",3
32,Hyderabad,75-100k,4,1-2/wk,70,Variety,Keto,None,3,3,5,Depends,0,3,5,No,2,"Targeted discounts,Surprise free items","Color-blind palette,Courier empathy rating",Late deliveries,2
27,Pune,25-50k,5,1-2/wk,220,Convenience,Vegetarian,"Soy,Gluten",5,4,5,Express Fresh,61,4,4,Yes,2,"Carbon-offset badges,Surprise free items",Voice-first ordering,"High fees,Confusing UI,Sustainability concerns",5
18,Jaipur,25-50k,2,1-2/wk,137,Convenience,None,None,4,4,5,Depends,0,1,4,Yes,3,"Surprise free items,Targeted discounts",Larger text/UI,"Cold food,Limited healthy options",4
38,Delhi,50-75k,3,1-2/wk,188,Variety,Vegetarian,None,5,2,3,Express Fresh,56,2,5,Yes,4,"Streak cashback,Targeted discounts","Color-blind palette,Courier empathy rating",None,5
25,Mumbai,25-50k,3,<1/mo,109,Other,Vegetarian,None,5,3,4,Express Fresh,33,4,5,Yes,3,Surprise free items,"Voice-first ordering,Larger text/UI",None,4
18,Jaipur,>100k,2,1-2/wk,216,Convenience,Calorie-controlled,None,4,3,2,Express Fresh,116,3,3,Yes,2,"Streak cashback,Carbon-offset badges","Voice-first ordering,Color-blind palette","Sustainability concerns,High fees",4
55,Ahmedabad,<25k,1,>5/wk,122,Convenience,High-protein,None,2,2,1,Eco-Saver,0,3,4,Yes,5,"Targeted discounts,Carbon-offset badges,Streak cashback",Color-blind palette,"High fees,Sustainability concerns,Late deliveries",3
27,Delhi,25-50k,2,1-2/wk,608,Variety,None,"Dairy,Shellfish",3,2,4,Express Fresh,38,2,3,Yes,2,"Carbon-offset badges,Targeted discounts,Surprise free items","Voice-first ordering,Courier empathy rating",Sustainability concerns,3
19,Mumbai,<25k,4,3-5/wk,184,Time constraints,Vegetarian,Shellfish,4,4,4,Express Fresh,94,2,3,Yes,2,Streak cashback,Courier empathy rating,"Limited healthy options,Sustainability concerns,High fees",5
46,Hyderabad,<25k,3,1-3/mo,55,Convenience,Vegetarian,None,3,4,4,Express Fresh,43,2,4,Yes,3,Streak cashback,None,"High fees,Sustainability concerns",4
44,Mumbai,>100k,5,3-5/wk,196,Health meals,None,None,2,5,3,Eco-Saver,0,2,4,Yes,3,Surprise free items,"Voice-first ordering,Courier empathy rating","Cold food,Sustainability concerns",5
21,Pune,25-50k,1,1-2/wk,94,Convenience,Calorie-controlled,"Shellfish,Peanuts",3,4,3,Eco-Saver,0,3,4,No,3,Targeted discounts,"Color-blind palette,Larger text/UI",Sustainability concerns,3
39,Lucknow,<25k,2,1-2/wk,130,Time constraints,High-protein,Soy,3,2,3,Express Fresh,65,4,4,No,3,"Carbon-offset badges,Surprise free items",None,"Limited healthy options,Sustainability concerns,High fees",4
21,Chennai,25-50k,5,1-2/wk,129,Variety,Vegetarian,None,3,3,1,Express Fresh,77,3,3,No,4,"Streak cashback,Surprise free items",Voice-first ordering,None,2
31,Mumbai,<25k,4,1-2/wk,150,Variety,High-protein,None,4,4,3,Eco-Saver,0,4,4,No,3,None of these,"Color-blind palette,Larger text/UI",None,5
